ID #	Class	Incidence	Occurence   :	Total	ID 1	ID 2	ID 3	ID 4	ID 5	ID 6	ID 7	ID 8	ID 9
				Contact Time :
67	2	1				2	0	0	0	0	0	2	0	0	0
						9	0	0	0	0	0	9	0	0	0

68	2	1				2	0	0	0	0	0	2	0	0	0
						967	0	0	0	0	0	967	0	0	0

69	2	1				3	0	0	0	0	0	3	0	0	0
						129	0	0	0	0	0	129	0	0	0

70	2	1				3	0	0	0	0	0	3	0	0	0
						360	0	0	0	0	0	360	0	0	0

71	2	1				3	0	0	0	0	0	3	0	0	0
						933	0	0	0	0	0	933	0	0	0

72	2	1				4	0	0	0	0	0	4	0	0	0
						484	0	0	0	0	0	484	0	0	0

73	2	1				3	0	0	0	0	0	3	0	0	0
						1427	0	0	0	0	0	1427	0	0	0

74	2	1				2	0	0	0	0	0	2	0	0	0
						125	0	0	0	0	0	125	0	0	0

75	2	1				5	0	0	0	0	0	5	0	0	0
						3196	0	0	0	0	0	3196	0	0	0

76	2	1				3	0	0	0	0	0	3	0	0	0
						3	0	0	0	0	0	3	0	0	0

77	2	1				6	0	0	0	0	0	6	0	0	0
						721	0	0	0	0	0	721	0	0	0

78	2	1				3	0	0	0	0	0	3	0	0	0
						1089	0	0	0	0	0	1089	0	0	0

79	2	1				2	0	0	0	0	0	2	0	0	0
						114	0	0	0	0	0	114	0	0	0

80	2	1				3	0	0	0	0	0	3	0	0	0
						518	0	0	0	0	0	518	0	0	0

81	2	1				5	0	0	0	0	0	5	0	0	0
						1206	0	0	0	0	0	1206	0	0	0

82	2	1				2	0	0	0	0	0	2	0	0	0
						1904	0	0	0	0	0	1904	0	0	0

83	2	1				2	0	0	0	0	0	2	0	0	0
						2	0	0	0	0	0	2	0	0	0

84	2	1				3	0	0	0	0	0	3	0	0	0
						3008	0	0	0	0	0	3008	0	0	0

85	2	1				2	0	0	0	0	0	2	0	0	0
						2	0	0	0	0	0	2	0	0	0

86	2	1				13	0	0	0	0	0	0	13	0	0
						166987	0	0	0	0	0	0	166987	0	0

87	2	1				5	0	0	0	0	0	0	5	0	0
						247	0	0	0	0	0	0	247	0	0

88	2	1				4	0	0	0	0	0	0	4	0	0
						1677	0	0	0	0	0	0	1677	0	0

89	2	1				5	0	0	0	0	0	0	5	0	0
						2249	0	0	0	0	0	0	2249	0	0

90	2	1				7	0	0	0	0	0	0	7	0	0
						592	0	0	0	0	0	0	592	0	0

91	2	1				2	0	0	0	0	0	0	2	0	0
						2	0	0	0	0	0	0	2	0	0

