# Format: type;msg_id;hop_src_user_id;hop_dst_user_id;dst_timestamp
3;-1;8;29;197714
3;-1;8;11;197814
3;-1;8;32;197974
3;-1;8;17;198461
3;-1;8;17;198483
3;-1;8;17;198493
3;-1;8;17;198848
3;-1;8;17;198892
3;-1;8;11;198933
3;-1;8;17;199071
3;-1;8;11;199196
3;-1;8;29;199312
3;-1;8;11;199765
3;-1;8;17;200042
3;-1;8;4;200108
2;680;8;4;200108
2;881;8;4;200109
2;651;8;4;200109
3;-1;8;17;200181
3;-1;8;12;200657
3;-1;8;4;200802
3;-1;8;56;200975
3;-1;8;56;201050
3;-1;8;69;201355
2;880;8;69;201357
3;-1;8;17;201399
3;-1;8;17;201495
3;-1;8;65;201533
3;-1;8;17;201606
3;-1;8;17;201655
3;-1;8;29;201920
3;-1;8;32;202063
3;-1;8;32;202203
3;-1;8;29;202277
3;-1;8;17;202328
3;-1;8;4;202454
3;-1;8;32;203050
3;-1;8;32;203058
3;-1;8;4;203158
3;-1;8;69;203249
3;-1;8;12;203471
3;-1;8;17;203581
3;-1;8;69;203732
3;-1;8;71;203855
3;-1;8;71;203856
3;-1;8;17;203909
3;-1;8;64;203989
3;-1;8;64;203989
3;-1;8;71;204142
3;-1;8;17;204151
2;720;9;43;17162
2;806;9;51;17549
2;884;9;71;17798
2;806;9;43;51369
2;803;10;69;39786
2;807;10;69;39786
2;808;10;69;39786
2;598;10;69;39786
2;686;10;69;39787
2;588;10;69;39787
2;589;10;69;39787
2;590;10;69;39787
2;591;10;69;39787
2;847;10;69;39787
2;616;10;22;40176
2;863;10;22;41043
2;855;10;22;41044
2;604;10;69;41082
2;595;10;69;41083
2;852;10;69;41083
2;850;10;69;41098
2;869;10;69;41108
2;870;10;69;41108
2;868;10;69;41152
2;871;10;69;41198
2;872;10;69;43444
3;-1;10;69;45467
3;-1;10;69;45468
3;-1;10;1;45595
2;698;10;7;45619
3;-1;10;1;48253
2;887;10;14;49589
3;-1;10;22;50857
3;-1;10;22;50857
3;-1;10;22;50863
2;617;10;22;50909
3;-1;10;1;53383
3;-1;10;32;53647
2;620;10;32;53648
2;620;10;1;53674
2;619;10;1;53674
2;618;10;1;53674
3;-1;10;32;53715
3;-1;10;1;53823
3;-1;10;3;53899
3;-1;10;1;53919
3;-1;10;33;54031
3;-1;10;1;54040
2;695;10;33;54032
2;687;10;33;54072
3;-1;10;32;54083
2;694;10;33;54073
2;801;10;32;54189
2;801;10;22;91181
2;552;10;22;91257
2;618;10;22;91258
2;578;10;47;91312
2;587;10;47;91312
2;896;10;32;91325
2;578;10;32;91326
2;587;10;32;91326
2;697;10;1;91502
2;587;10;1;91522
2;587;10;32;91651
2;664;10;32;91651
3;-1;10;32;91651
2;896;10;17;91699
3;-1;10;1;91730
3;-1;10;1;91730
3;-1;10;1;91731
3;-1;10;22;91800
3;-1;10;32;92103
3;-1;10;11;181568
3;-1;10;3;181822
3;-1;10;3;181823
3;-1;10;69;205100
2;793;10;69;205101
2;683;10;69;205101
2;680;10;69;205102
2;651;10;69;205103
2;877;10;69;205104
2;674;10;69;205105
3;-1;11;26;23873
3;-1;11;26;23874
2;686;11;26;23952
2;887;11;26;23954
2;828;11;61;24589
3;-1;11;74;24725
3;-1;11;26;24743
3;-1;11;26;24756
3;-1;11;74;24757
3;-1;11;74;24770
3;-1;11;43;25668
3;-1;11;43;25772
3;-1;11;26;25847
3;-1;11;24;25865
2;580;11;14;25941
3;-1;11;26;26219
2;581;11;14;26253
2;891;11;23;43785
2;698;11;23;43786
2;847;11;23;43786
2;591;11;23;43787
2;590;11;23;43787
2;589;11;23;43789
2;588;11;23;43790
2;598;11;23;43791
2;808;11;23;43791
2;807;11;23;43791
2;803;11;23;43791
2;698;11;24;43903
2;891;11;24;43903
2;589;11;24;43903
2;590;11;24;43904
2;847;11;24;43904
2;591;11;24;43904
2;808;11;24;43904
2;807;11;24;43904
2;803;11;24;43904
2;698;11;24;43978
2;697;11;43;44661
2;801;11;43;44669
2;587;11;43;44669
2;694;11;43;44670
3;-1;11;31;51258
3;-1;11;47;54232
2;569;11;17;54990
3;-1;11;59;55062
3;-1;11;16;55356
2;687;11;32;88435
2;695;11;32;88435
2;620;11;32;88445
2;620;11;32;88445
2;620;11;31;90566
2;569;11;31;90566
2;896;11;32;91625
3;-1;11;32;92900
3;-1;11;17;95401
3;-1;11;17;95402
3;-1;11;14;95665
2;847;11;14;95746
2;591;11;14;95748
2;590;11;14;95748
2;598;11;14;95749
2;808;11;14;95749
2;803;11;14;95750
2;662;11;14;113325
2;717;11;14;113325
2;582;11;14;113326
3;-1;11;14;113326
3;-1;11;14;113341
2;674;11;47;178893
2;717;11;47;179373
3;-1;11;3;180344
3;-1;11;3;180345
3;-1;11;47;181301
3;-1;11;47;181302
2;575;11;10;181667
3;-1;11;39;195457
3;-1;11;1;196223
3;-1;11;17;196238
3;-1;11;17;196240
3;-1;11;1;196458
3;-1;11;29;196465
3;-1;11;8;196575
2;651;11;1;196626
3;-1;11;8;196675
3;-1;11;8;196926
3;-1;11;29;197042
2;881;11;69;197227
3;-1;11;69;197229
3;-1;11;69;197232
2;881;11;69;197357
2;680;11;69;197394
2;680;11;69;197395
3;-1;11;8;197397
3;-1;11;8;197498
3;-1;11;17;197569
2;651;11;17;197570
2;881;11;17;197571
2;680;11;17;197571
3;-1;11;17;197600
3;-1;11;17;197860
3;-1;11;8;197891
3;-1;11;29;197905
2;680;11;29;197905
3;-1;11;3;197956
3;-1;11;17;198579
3;-1;11;32;198788
3;-1;11;17;198981
3;-1;11;17;199162
3;-1;11;76;199205
3;-1;11;29;199356
3;-1;11;29;199360
3;-1;11;8;199856
3;-1;11;8;199858
3;-1;12;52;31163
3;-1;12;52;31205
3;-1;12;4;33950
2;807;12;4;33951
2;808;12;4;33951
2;686;12;4;33952
2;590;12;4;33956
2;591;12;4;33956
2;847;12;4;33957
3;-1;12;19;34422
3;-1;12;6;34429
3;-1;12;19;34936
2;828;12;24;34976
3;-1;12;19;36135
3;-1;12;19;36137
2;589;12;19;36181
2;891;12;19;36181
2;576;12;19;36181
2;887;12;19;36181
2;698;12;19;36182
2;587;12;19;36296
2;887;12;43;36311
3;-1;12;43;36456
2;803;12;43;36457
2;698;12;43;36457
2;891;12;43;36457
2;576;12;43;36457
3;-1;12;5;36653
2;694;12;19;36679
3;-1;12;42;36745
3;-1;12;42;36745
3;-1;12;42;36934
3;-1;12;5;37073
3;-1;12;71;37142
3;-1;12;19;37180
3;-1;12;64;37182
3;-1;12;43;37257
3;-1;12;19;37349
3;-1;12;19;37349
2;588;12;71;37368
2;801;12;71;37369
3;-1;12;43;37395
3;-1;12;71;37454
3;-1;12;43;37546
3;-1;12;19;37594
3;-1;12;5;37609
3;-1;12;42;37728
2;801;12;5;38246
2;588;12;5;38408
2;697;12;19;38435
3;-1;12;16;38484
3;-1;12;39;39925
2;620;12;43;49656
2;569;12;43;49656
2;598;12;43;49768
2;687;12;43;49768
2;695;12;43;49768
2;569;12;43;49791
3;-1;12;32;50148
3;-1;12;75;50384
2;896;12;75;50384
2;578;12;43;50744
2;578;12;43;50791
3;-1;12;32;50805
3;-1;12;32;50807
3;-1;12;42;53100
3;-1;12;42;53325
3;-1;12;63;53652
3;-1;12;59;53870
3;-1;12;56;53986
2;577;12;56;54365
3;-1;12;56;54366
3;-1;12;43;54517
3;-1;12;43;54546
3;-1;12;4;54660
3;-1;12;45;54841
3;-1;12;45;54842
3;-1;12;57;68208
3;-1;12;3;70807
3;-1;12;59;71361
2;717;12;59;71367
2;662;12;59;71368
3;-1;12;4;75071
3;-1;12;4;75081
3;-1;12;32;87826
2;717;12;32;87827
2;674;12;32;87828
3;-1;12;4;102283
2;674;12;4;102283
3;-1;12;59;102320
2;674;12;59;102321
3;-1;12;56;147468
3;-1;12;56;147470
3;-1;12;33;151644
3;-1;12;28;151988
2;674;12;28;151992
2;780;12;33;152021
3;-1;12;33;152677
3;-1;12;4;157210
2;680;12;4;157215
2;881;12;4;157218
3;-1;12;4;159342
2;651;12;4;159343
3;-1;12;4;160831
3;-1;12;29;161745
2;651;12;29;161745
2;881;12;29;161746
3;-1;12;60;162337
3;-1;12;32;162344
3;-1;12;66;163446
3;-1;12;66;163446
3;-1;13;26;28321
2;591;13;26;28560
2;847;13;26;28561
2;590;13;26;28561
2;589;13;26;28562
2;891;13;26;28562
2;576;13;26;28562
2;828;13;26;28562
3;-1;13;26;28563
2;887;13;26;28563
2;686;13;26;28564
3;-1;14;11;25784
2;576;14;11;25784
2;828;14;11;25785
2;887;14;11;25785
2;686;14;11;25785
3;-1;14;11;25907
2;891;14;23;43777
2;698;14;23;43778
2;847;14;23;43778
2;591;14;23;43778
2;590;14;23;43779
2;589;14;23;43779
2;588;14;23;43780
2;598;14;23;43780
2;808;14;23;43781
2;807;14;23;43781
